keyword,title,publication
smartphone_energy,Smartphone-powered portable chemiresistive sensing system for label free detection of lead ions in water,Microchemical Journal
smartphone_energy,Smartphone-based localization for blind navigation in building-scale indoor environments,Pervasive and Mobile Computing
smartphone_energy,An acceleration vector variance based method for energy expenditure estimation in real-life environment with a smartphone/smartwatch integration,Expert Systems with Applications
smartphone_energy,A smartphone-powered photoelectrochemical POCT via Z-scheme Cu2O/Cu3SnS4 for dibutyl phthalate in the environmental and food,Journal of Hazardous Materials
smartphone_energy,Automatic depression prediction using Internet traffic characteristics on smartphones,Smart Health
smartphone_energy,External dose-rate measurements based on smartphone CMOS sensors,Radiation Measurements
smartphone_energy,Energy-efficient automatic location-triggered applications on smartphones,Computer Communications
smartphone_energy,Comparison of Energy and Macronutrients Between a Mobile Application and a Conventional Dietary Assessment Method in Korea,Journal of the Academy of Nutrition and Dietetics
smartphone_energy,Energy analysis and prediction for applications on smartphones,Journal of Systems Architecture
smartphone_energy,A smartphone application for remote adjustment of warfarin dose: Development and usability study,Applied Nursing Research
smartphone_energy,Intelligent Energy to develop embedded fuel cells for smartphones,Fuel Cells Bulletin
smartphone_energy,Using barometric pressure data to recognize vertical displacement activities on smartphones,Computer Communications
smartphone_energy,Robust and ubiquitous smartphone-based lane detection,Pervasive and Mobile Computing
smartphone_energy,A chlorinated benzimidazole fluorescent probe for sensitive and rapid detection of iron and ferrous ions,Tetrahedron
smartphone_energy,Partial mobile application offloading to the cloud for energy-efficiency with security measures,Sustainable Computing: Informatics and Systems
smartphone_energy,Nature Inspired Power Optimization in smartphones,Swarm and Evolutionary Computation
smartphone_energy,Feature extraction and feature selection in smartphone-based activity recognition,Procedia Computer Science
smartphone_energy,Secloud: A cloud-based comprehensive and lightweight security solution for smartphones,Computers & Security
smartphone_energy,Power tradeoffs in mobile video transmission for smartphones,Computer Communications
smartphone_energy,Reducing temporal tensions as a strategy to promote sustainable behaviours,Computers in Human Behavior
smartphone_energy,"The eMouveRecherche application competes with research devices to evaluate energy expenditure, physical activity and still time in free-living conditions",Journal of Biomedical Informatics
smartphone_energy,Validation of the smartphone-based dietary assessment tool “Traqq” for assessing actual dietary intake by repeated 2-h recalls in adults: comparison with 24-h recalls and urinary biomarkers,The American Journal of Clinical Nutrition
smartphone_energy,An Optimized Recurrent Neural Network for re-modernize food dining bowls and estimating food capacity from images,Entertainment Computing
smartphone_energy,Smartphone-based cyclic voltammetry system with graphene modified screen printed electrodes for glucose detection,Biosensors and Bioelectronics
smartphone_energy,WLAN-Opp: Ad-hoc-less opportunistic networking on smartphones,Ad Hoc Networks
smartphone_energy,Freezing-assisted nano-sweeping of short oligonucleotides using spherical nucleic acids: A fluorometric platform for quantification of microRNAs,Sensors and Actuators B: Chemical
smartphone_energy,A speed-amplified tri-stable piezoelectric-electromagnetic-triboelectric hybrid energy harvester for low-frequency applications,Nano Energy
