keyword,title,publication
mobile_battery,Enersave API: Android-based power-saving framework for mobile devices,Future Computing and Informatics Journal
mobile_battery,Optimal sizing of photovoltaic-wind-diesel-battery power supply for mobile telephony base stations,Energy
mobile_battery,Investigating the influential factors in real-world energy consumption of battery electric vehicles,Energy Reports
mobile_battery,A two-layer hybrid robust-stochastic model for energy management of isolated multi-energy microgrids with mobile storage systems and hydrogen refueling stations,Journal of Energy Storage
mobile_battery,"Electric Drive and Energy Storage System for Industry Modular Mobile Container Platform, Feasibility Study",IFAC-PapersOnLine
mobile_battery,Meta-analytical comparison of energy consumed by two sorting algorithms,Information Sciences
mobile_battery,Task offloading for edge-IoV networks in the industry 4.0 era and beyond: A high-level view,"Engineering Science and Technology, an International Journal"
mobile_battery,Energy efficient data gathering using mobile sink in IoT for reliable irrigation,Sustainable Computing: Informatics and Systems
mobile_battery,New electric starter system based on on-board power network with hydrogen energy storage,International Journal of Hydrogen Energy
mobile_battery,Evaluating battery charging and swapping strategies in a robotic mobile fulfillment system,European Journal of Operational Research
mobile_battery,A mean field stochastic game for battery state-dependent power management,IFAC Proceedings Volumes
mobile_battery,Selective electrochemical recoveries of Cu and Mn from end-of-life Li-ion batteries,"Resources, Conservation and Recycling"
mobile_battery,Evaluating construct and criterion validity of NeuroScreen in assessing neurocognition among hospitalized Ugandan first-episode psychosis patients,Schizophrenia Research: Cognition
mobile_battery,Secure mobile internet voting system using biometric authentication and wavelet based AES,Journal of Information Security and Applications
mobile_battery,A mobile application for cognitive screening of dementia,Computer Methods and Programs in Biomedicine
mobile_battery,Real-time wireless marine radioactivity monitoring system using a SiPM-based mobile gamma spectroscopy mounted on an unmanned marine vehicle,Nuclear Engineering and Technology
mobile_battery,Physicochemical properties of Pyr13TFSI-NaTFSI electrolyte for sodium batteries,Electrochimica Acta
mobile_battery,16: Polymer blend nanocomposites for battery applications,Polymer Blend Nanocomposites for Energy Storage Applications
mobile_battery,Combined pyro-hydrometallurgical technology for recovering valuable metal elements from spent lithium-ion batteries: a review of recent developments,Green Chemistry
mobile_battery,Battery-aware centralized schedulers for CPU-bound jobs in mobile Grids,Pervasive and Mobile Computing
mobile_battery,An adaptive congestion and energy aware multipath routing scheme for mobile ad-hoc networks through stable link prediction,Measurement: Sensors
mobile_battery,Charging non-deterministic mobile nodes in a transfer learning approach,Ad Hoc Networks
mobile_battery,Resiliency Evaluation of Sheltering in a Net-zero Energy House During Summer Power Outage,Building and Environment
mobile_battery,Design of a robotic system for battery dismantling from tablets,Procedia CIRP
mobile_battery,Vehicle-to-home operation and multi-location charging of electric vehicles for energy cost optimisation of households with photovoltaic system and battery energy storage,Renewable Energy
mobile_battery,Human motion recognition by a shoes-floor triboelectric nanogenerator and its application in fall detection,Nano Energy
mobile_battery,Analogy between Immune System and Sensor Replacement Using Mobile Robots on Wireless Sensor Networks,Procedia Computer Science
mobile_battery,Semi-empirical cyclic aging model for stationary storages based on graphite anode aging mechanisms,Journal of Power Sources
mobile_battery,Sulfonation of chitosan for enhanced sorption of Li(I) from acidic solutions – Application to metal recovery from waste Li-ion mobile battery,Chemical Engineering Journal
mobile_battery,Towards Energy-Aware Federated Learning via Collaborative Computing Approach,Computer Communications
mobile_battery,Bioleaching of valuable metals from spent lithium-ion mobile phone batteries using Aspergillus niger,Journal of Power Sources
mobile_battery,AwarNS: A framework for developing context-aware reactive mobile applications for health and mental health,Journal of Biomedical Informatics
mobile_battery,Metal toxicity assessment of mobile phone parts using Milli Q water,Waste Management
mobile_battery,Performance Analysis of Efficient Energy Routing Protocols in MANET,Procedia Computer Science
mobile_battery,Sustainable text summarization over mobile devices: An energy-aware approach,Sustainable Computing: Informatics and Systems
mobile_battery,"Impact of mobile cross-platform development on CPU, memory and battery of mobile devices when using common mobile app features",Procedia Computer Science
mobile_battery,Research on emergency distribution optimization of mobile power for electric vehicle in photovoltaic-energy storage-charging supply chain under the energy blockchain,Energy Reports
mobile_battery,Cell Components – Electrodes | Semiconductor Electrodes,Encyclopedia of Electrochemical Power Sources (Second Edition)
mobile_battery,A comparative study on the energy consumption of Progressive Web Apps,Information Systems
mobile_battery,Enabling dendrite-free charging for lithium batteries based on transport-reaction competition mechanism in CHAIN framework,Journal of Energy Chemistry
mobile_battery,Direct regeneration of spent LiFePO4 materials via a green and economical one-step hydrothermal process,Journal of Environmental Management
mobile_battery,A fluorescent tool for sensing the battery-pollution event in soil samples based on Zn2+-triggering ratiometric signals,Journal of Molecular Structure
